question|description
7_52|<strong>Course:&nbsp;</strong>COMPSCI 611-01 Advanced Algorithms &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Le
7_53|<strong>Course:&nbsp;</strong>COMPSCI 646-01 Information Retrieval &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Rahimi
7_54|<strong>Course:&nbsp;</strong>COMPSCI 648-01 Quantum Information Systems  &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 12:20 PM - 01:35 PM &nbsp; <strong>Instructor:&nbsp;</strong>Krastanov
7_55|<strong>Course:&nbsp;</strong>COMPSCI 653-01 Computer Networking &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructors:&nbsp;</strong>Venkataramani
7_56|<strong>Course:&nbsp;</strong>COMPSCI 655-01 Performance Evaluation &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 10:10 AM - 11:25 PM &nbsp; <strong>Instructor:&nbsp;</strong>Towsley
7_57|<strong>Course:&nbsp;</strong>COMPSCI 660-01 Advanced Information Assurance &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Houmansadr
7_58|<strong>Course:&nbsp;</strong>COMPSCI 661-01 Secure Distributed Systems  &nbsp; <strong>Schedule:&nbsp;</strong>Tue 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Stone
7_59|<strong>Course:&nbsp;</strong>COMPSCI 666-01 Theory and Practice of Cryptography &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 02:30 PM - 03:45 PM <strong> &nbsp;Instructor:&nbsp;</strong>O'Neil
7_60|<strong>Course:&nbsp;</strong>COMPSCI 670-01 Computer Vision &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Van Horn
7_61|<strong>Course:&nbsp;</strong>COMPSCI 677-01 Distributed and Operating Systems &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Klemperer
7_62|<strong>Course:&nbsp;</strong>COMPSCI 682-01 Neural Networks: A Modern Introduction &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Gan, Maji
7_63|<strong>Course:&nbsp;</strong>COMPSCI 687-01, 02 Reinforcement Learning &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Castro da Silva
7_64|<strong>Course:&nbsp;</strong>COMPSCI 688-01 Probabilistic Graphical Models &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Sheldon
